Client,ROC-AUC,Precision,Recall,F1
Client 1,92.71523178807948,97.32847601700061,100.0,98.64615384615385
Client 2,95.36741214057508,98.21098087600247,100.0,99.09741674447557
Client 3,96.80451127819548,98.97342995169082,100.0,99.48406676783004
Client 4,91.60583941605839,97.25700655933214,100.0,98.60943168077388
Client 5,97.42055157349228,99.14582062233069,99.87707437000614,99.51010410287815
Client 6,92.02178861654265,97.0909090909091,99.93761696818466,98.49369812480788
Client 7,96.00000000000001,98.80597014925372,100.0,99.3993993993994
Client 8,96.94269525730199,99.0314769975787,99.87789987789988,99.45288753799392
Client 9,93.10344827586206,97.85714285714285,100.0,98.91696750902527
Client 10,96.23655913978494,98.72495446265937,100.0,99.35838680109991
Client 11,94.88054607508532,98.17295980511571,100.0,99.0780577750461
Client 12,96.66666666666667,98.84075655887736,100.0,99.41699907947223
Client 13,94.65600552231938,98.31932773109243,99.8780487804878,99.09255898366605
Client 14,96.65492957746478,98.84075655887736,100.0,99.41699907947223
Client 15,96.92836493209627,98.8923076923077,99.93781094527363,99.41231054747912
Client 16,97.72496340308274,99.34092270820851,99.93972272453286,99.63942307692307
Client 17,94.5980149376933,98.4588026081802,99.93983152827917,99.19378919080323
Client 18,96.00491115582689,98.72958257713249,99.81651376146789,99.27007299270073
Client 19,94.56140350877193,98.12121212121212,100.0,99.05169776690119
Client 20,98.08998846301758,99.38195302843016,99.62825278810409,99.5049504950495
Average,95.44919158639587,98.47623744866672,99.94163858721181,99.20226857509758
