Client,ROC-AUC,Precision,Recall,F1
Client 1,80.26992022408317,97.34133790737565,70.80474111041796,81.97905381003973
Client 2,82.64104066659173,96.69485011529592,79.02010050251256,86.96854476322157
Client 3,79.15483492134851,96.84210526315789,72.97132397803539,83.22894919972164
Client 4,77.50987930023673,95.98393574297188,73.26793378295524,83.10152990264255
Client 5,84.19698168938729,98.99581589958159,72.71051014136447,83.84124734231042
Client 6,81.34726692088095,97.77587681779298,71.30380536494073,82.46753246753246
Client 7,80.04229607250754,97.54701553556828,72.08459214501511,82.90479499652537
Client 8,82.73449397044902,98.96373056994818,69.96336996336996,81.97424892703863
Client 9,81.58891965209608,97.11246200607903,77.73722627737226,86.35135135135134
Client 10,89.6057347670251,96.55581947743468,100.0,98.2477341389728
Client 11,79.65038237112442,96.5825874694874,73.63523573200993,83.56212601196762
Client 12,79.98213125406107,97.23154362416108,71.54320987654322,82.43243243243244
Client 13,81.39898757478142,96.78864824495892,79.02439024390245,87.00906344410876
Client 14,84.7982959485307,97.61549925484351,80.8641975308642,88.45374746792707
Client 15,80.39279951593385,97.02233250620348,72.94776119402985,83.28008519701811
Client 16,83.90080082665979,99.32603201347936,71.06690777576854,82.85312719606466
Client 17,82.00465435450668,97.75541795665634,75.9927797833935,85.51117129316181
Client 18,77.23201800757137,96.27791563275434,71.19266055045873,81.85654008438819
Client 19,81.10486221730979,97.17969379532634,74.49042618900556,84.33566433566433
Client 20,83.88817672947913,99.2194275802255,70.87980173482032,82.68883267076255
Average,81.67222384922823,97.44060237066512,75.075048693839,84.6523888516426
