Client,ROC-AUC,Precision,Recall,F1
Client 1,89.56953642384106,96.21848739495799,100.0,98.07280513918629
Client 2,94.9222951819802,98.0852378011118,99.74874371859298,98.90999688570538
Client 3,94.73684210526316,98.32033593281344,100.0,99.15305505142166
Client 4,89.41605839416059,96.56601539372409,100.0,98.25301204819277
Client 5,94.48139091676873,98.18511796733212,99.7541487400123,98.96341463414635
Client 6,90.03503364965523,96.38989169675091,99.93761696818466,98.13169984686064
Client 7,94.01873111782477,98.27175208581644,99.63746223564954,98.94989498949896
Client 8,95.788574721159,98.67229933614968,99.81684981684981,99.2412746585736
Client 9,93.83931817546214,98.08955223880596,99.93917274939173,99.00572461584815
Client 10,96.76361279741829,99.01840490797545,99.2619926199262,99.14004914004913
Client 11,93.62397208648446,97.75349119611415,99.87593052109182,98.80331389996931
Client 12,95.87231968810916,98.59756097560975,99.81481481481481,99.20245398773007
Client 13,93.46870685687989,98.01563439567047,99.39024390243902,98.698153194066
Client 14,97.4734828725439,99.1421568627451,99.87654320987654,99.50799507995079
Client 15,95.34590560709964,98.34558823529412,99.81343283582089,99.07407407407408
Client 16,96.41005769396367,98.98325358851675,99.7588908981314,99.36955869108375
Client 17,94.95106960646835,98.57397504456328,99.81949458483754,99.19282511210761
Client 18,96.1931721291907,98.84498480243161,99.44954128440368,99.14634146341463
Client 19,96.28490621241183,98.71873093349603,99.93823347745521,99.32473910374463
Client 20,86.37055078408751,99.42622950819671,75.1548946716233,85.60338743824983
Average,93.97827685103861,98.21093501490378,98.54940035245507,98.28718845269368
