,epoch,client_id,is_mal,train_re,train_latent_z,train_loss,threshold_re,threshold_z,best_val_loss,best_epoch,is_training,val_loss
0,1,0,False,0.007408234290778637,,0.007408234290778637,"(np.float64(0.0073225922616464755), np.float64(0.0008825962907614189))","(0, 0)",0.0073225922616464755,1,True,0.0073225922616464755
1,1,1,False,0.00739624397829175,,0.00739624397829175,"(np.float64(0.007353442255407572), np.float64(0.0008137555546252536))","(0, 0)",0.007353442255407572,1,True,0.007353442255407572
2,1,2,False,0.00975552573800087,,0.00975552573800087,"(np.float64(0.007260804197617939), np.float64(0.000929034967471069))","(0, 0)",0.007260804197617939,1,True,0.007260804197617939
3,1,3,False,0.0073590874671936035,,0.0073590874671936035,"(np.float64(0.007330414972134999), np.float64(0.0007399785921799722))","(0, 0)",0.007330414972134999,1,True,0.007330414972134999
4,1,4,False,0.00897382665425539,,0.00897382665425539,"(np.float64(0.0068527578841894865), np.float64(0.0006920196623258591))","(0, 0)",0.0068527578841894865,1,True,0.0068527578841894865
5,1,5,False,0.0055167474783957005,,0.0055167474783957005,"(np.float64(0.007504525128751993), np.float64(0.0009500907368294422))","(0, 0)",0.007504525128751993,1,True,0.007504525128751993
6,1,6,False,0.009219707921147346,,0.009219707921147346,"(np.float64(0.007482697522001607), np.float64(0.0012479776458708231))","(0, 0)",0.007482697522001607,1,True,0.007482697522001607
7,1,7,False,0.0064915819093585014,,0.0064915819093585014,"(np.float64(0.007730086067957538), np.float64(0.0011596980283458155))","(0, 0)",0.007730086067957538,1,True,0.007730086067957538
8,1,8,False,0.007378229405730963,,0.007378229405730963,"(np.float64(0.007119851353179131), np.float64(0.0012219559470265833))","(0, 0)",0.007119851353179131,1,True,0.007119851353179131
9,1,9,False,0.0065873186103999615,,0.0065873186103999615,"(np.float64(0.007807076343202165), np.float64(0.0011102159267415796))","(0, 0)",0.007807076343202165,1,True,0.007807076343202165
10,1,10,False,0.007426091935485601,,0.007426091935485601,"(np.float64(0.007199775094964674), np.float64(0.0007509982606297021))","(0, 0)",0.007199775094964674,1,True,0.007199775094964674
11,1,11,False,0.007159609813243151,,0.007159609813243151,"(np.float64(0.007418480202821749), np.float64(0.0010345039731121497))","(0, 0)",0.007418480202821749,1,True,0.007418480202821749
12,1,12,False,0.007882509380578995,,0.007882509380578995,"(np.float64(0.0070799535938671655), np.float64(0.0006059438744839275))","(0, 0)",0.0070799535938671655,1,True,0.0070799535938671655
13,1,13,False,0.008369271643459797,,0.008369271643459797,"(np.float64(0.006905592379293272), np.float64(0.0009583235715280432))","(0, 0)",0.006905592379293272,1,True,0.006905592379293272
14,1,14,False,0.00694400817155838,,0.00694400817155838,"(np.float64(0.006686860728742821), np.float64(0.0006919952186682621))","(0, 0)",0.006686860728742821,1,True,0.006686860728742821
15,1,15,False,0.006607191637158394,,0.006607191637158394,"(np.float64(0.007256823458841869), np.float64(0.0007887124377303326))","(0, 0)",0.007256823458841869,1,True,0.007256823458841869
16,1,16,False,0.008429193869233131,,0.008429193869233131,"(np.float64(0.006903362626742039), np.float64(0.0009573263993250968))","(0, 0)",0.006903362626742039,1,True,0.006903362626742039
17,1,17,False,0.006072585936635733,,0.006072585936635733,"(np.float64(0.0072752021452678105), np.float64(0.0010423430837400835))","(0, 0)",0.0072752021452678105,1,True,0.0072752021452678105
18,1,18,False,0.006615045480430126,,0.006615045480430126,"(np.float64(0.007840334338002972), np.float64(0.0010372364378707815))","(0, 0)",0.007840334338002972,1,True,0.007840334338002972
19,1,19,False,0.010383841581642628,,0.010383841581642628,"(np.float64(0.007079919001885823), np.float64(0.0008528317642833962))","(0, 0)",0.007079919001885823,1,True,0.007079919001885823
20,2,0,False,0.005957594607025385,,0.005957594607025385,"(np.float64(0.00566099740431777), np.float64(0.0006270094069958529))","(0, 0)",0.00566099740431777,2,True,0.00566099740431777
21,2,1,False,0.00597736518830061,,0.00597736518830061,"(np.float64(0.005800165867965136), np.float64(0.0006262554232785514))","(0, 0)",0.005800165867965136,2,True,0.005800165867965136
22,2,2,False,0.006706965155899525,,0.006706965155899525,"(np.float64(0.005820135951840452), np.float64(0.0006503063772422812))","(0, 0)",0.005820135951840452,2,True,0.005820135951840452
23,2,3,False,0.005550984758883715,,0.005550984758883715,"(np.float64(0.005715315196929234), np.float64(0.0006148331013931922))","(0, 0)",0.005715315196929234,2,True,0.005715315196929234
24,2,4,False,0.00705834710970521,,0.00705834710970521,"(np.float64(0.005456868060199278), np.float64(0.0005098786850321873))","(0, 0)",0.005456868060199278,2,True,0.005456868060199278
25,2,5,False,0.004678646568208933,,0.004678646568208933,"(np.float64(0.006064731295087508), np.float64(0.0007480499547375482))","(0, 0)",0.006064731295087508,2,True,0.006064731295087508
26,2,6,False,0.007092731539160013,,0.007092731539160013,"(np.float64(0.006075907664905701), np.float64(0.0008608192467150981))","(0, 0)",0.006075907664905701,2,True,0.006075907664905701
27,2,7,False,0.005109662655740976,,0.005109662655740976,"(np.float64(0.006152995995112828), np.float64(0.0007717991351253011))","(0, 0)",0.006152995995112828,2,True,0.006152995995112828
28,2,8,False,0.006640254519879818,,0.006640254519879818,"(np.float64(0.005808861859674964), np.float64(0.0009193036700967937))","(0, 0)",0.005808861859674964,2,True,0.005808861859674964
29,2,9,False,0.004886634182184935,,0.004886634182184935,"(np.float64(0.005999197318617787), np.float64(0.0009000553837161006))","(0, 0)",0.005999197318617787,2,True,0.005999197318617787
