Client,ROC-AUC,Precision,Recall,F1
Client 1,81.9663462134326,98.26238053866203,70.55520898315658,82.13507625272331
Client 2,82.33078330951884,97.52475247524752,74.2462311557789,84.30813124108415
Client 3,92.66917293233084,97.67580452920143,100.0,98.82423876997287
Client 4,92.15328467153286,97.43130227001194,100.0,98.69894099848715
Client 5,85.0347994499299,99.41077441077442,72.58758451137062,83.90763765541742
Client 6,83.03408757586148,98.62068965517241,71.36618839675609,82.80854144046327
Client 7,82.04229607250755,98.35119538334708,72.08459214501511,83.19386331938632
Client 8,83.53637623300546,99.14529914529915,70.81807081807082,82.62108262108262
Client 9,93.10344827586206,97.85714285714285,100.0,98.91696750902527
Client 10,93.01075268817205,97.65765765765767,100.0,98.81494986326345
Client 11,95.70277102617737,98.4718826405868,99.93796526054591,99.19950738916256
Client 12,81.37589343729694,97.96091758708582,71.17283950617283,82.44547729710405
Client 13,92.95789231477221,97.7910447761194,99.8780487804878,98.82352941176471
Client 14,95.77464788732395,98.54014598540147,100.0,99.26470588235294
Client 15,83.07785397337636,98.39797639123103,72.57462686567165,83.5361488904796
Client 16,84.85145957117024,99.50124688279301,72.15189873417721,83.64779874213836
Client 17,81.95865779554654,98.01429706115965,74.24789410348977,84.49161246148579
Client 18,80.39186930868661,97.6510067114094,71.19266055045873,82.34877962504422
Client 19,82.40586023427933,97.87408013082583,73.93452748610252,84.23645320197043
Client 20,84.02961158825791,99.30495221546481,70.817843866171,82.67631103074142
Average,86.57039322795205,98.27222746522968,81.87830905817125,88.7449876801575
