Client,ROC-AUC,Precision,Recall,F1
Client 1,94.24447346738425,98.0652962515115,99.8768472906404,98.96278218425869
Client 2,85.00760152545867,94.94415049970605,99.87631416202845,97.34779987944545
Client 3,97.27192878960685,99.37578027465668,98.08995686999384,98.72868217054264
Client 4,95.99776910206359,98.72340425531915,99.6319018404908,99.17557251908397
Client 5,91.51815066241494,96.90721649484536,99.81261711430356,98.33846153846154
Client 6,88.86925795053003,96.26112759643917,100.0,98.0949501058361
Client 7,93.756578582904,98.08038392321535,99.6343692870201,98.85126964933495
Client 8,94.85450643403917,98.29476248477467,99.56816779765578,98.92736745326387
Client 9,96.845143137633,99.01840490797545,99.38423645320196,99.20098340503995
Client 10,90.11532936222014,96.79334916864607,99.93868792152054,98.34087481146304
Client 11,97.30376171080309,99.68051118210862,96.35577516985794,97.98994974874373
Client 12,97.30554563610153,99.49780288763338,97.47847478474785,98.47778813296054
Client 13,95.03828909256835,98.36264402668283,99.7539975399754,99.05343511450381
Client 14,96.30826704724326,98.91107078039929,99.51308581862448,99.21116504854369
Client 15,97.15474583895639,99.14893617021276,99.57264957264957,99.36034115138592
Client 16,92.41064712805401,97.53012048192771,99.56949569495694,98.5392574558734
Client 17,96.79092345645329,99.25696594427245,98.0428134556575,98.64615384615385
Client 18,94.02563160794395,98.00121138703815,99.75339087546239,98.86953864955697
Client 19,91.63561760128283,97.30861244019138,99.75475168608216,98.51650015137754
Client 20,96.20687537061843,98.96844660194175,99.02853673345476,98.99848254931715
Average,94.13305217521399,98.15650988797489,99.23180350341623,98.68156777825735
