,epoch,client_id,is_mal,train_re,train_latent_z,train_loss,threshold_re,threshold_z,best_val_loss,best_epoch,is_training,val_loss
0,1,0,False,0.02058541215956211,,0.02058541215956211,"(np.float64(0.016841243486851454), np.float64(0.00246864790096879))","(0, 0)",0.016841243486851454,1,True,0.016841243486851454
1,1,1,False,0.02002963051199913,,0.02002963051199913,"(np.float64(0.01592788565903902), np.float64(1.2510456144809723e-05))","(0, 0)",0.01592788565903902,1,True,0.01592788565903902
2,1,2,False,0.022603634744882584,,0.022603634744882584,"(np.float64(0.02327554300427437), np.float64(0.004286548122763634))","(0, 0)",0.02327554300427437,1,True,0.02327554300427437
3,1,3,False,0.023076355457305908,,0.023076355457305908,"(np.float64(0.01798182399943471), np.float64(0.0031296382658183575))","(0, 0)",0.01798182399943471,1,True,0.01798182399943471
4,1,4,False,0.0207278560847044,,0.0207278560847044,"(np.float64(0.01836540549993515), np.float64(0.00193844735622406))","(0, 0)",0.01836540549993515,1,True,0.01836540549993515
5,1,5,False,0.020850755274295807,,0.020850755274295807,"(np.float64(0.017398745752871037), np.float64(0.0012376056984066963))","(0, 0)",0.017398745752871037,1,True,0.017398745752871037
6,1,6,False,0.019468670710921288,,0.019468670710921288,"(np.float64(0.01768018025904894), np.float64(0.0015374915674328804))","(0, 0)",0.01768018025904894,1,True,0.01768018025904894
7,1,7,False,0.021398479118943214,,0.021398479118943214,"(np.float64(0.016693463549017906), np.float64(0.0013329610228538513))","(0, 0)",0.016693463549017906,1,True,0.016693463549017906
8,1,8,False,0.022956764325499535,,0.022956764325499535,"(np.float64(0.01866787113249302), np.float64(0.004342999309301376))","(0, 0)",0.01866787113249302,1,True,0.01866787113249302
9,1,9,False,0.02551594004034996,,0.02551594004034996,"(np.float64(0.016706282272934914), np.float64(0.0008259229362010956))","(0, 0)",0.016706282272934914,1,True,0.016706282272934914
10,1,10,False,0.0210027564316988,,0.0210027564316988,"(np.float64(0.018922187387943268), np.float64(0.0018323492258787155))","(0, 0)",0.018922187387943268,1,True,0.018922187387943268
11,1,11,False,0.0216473788022995,,0.0216473788022995,"(np.float64(0.026213315315544605), np.float64(0.008083499036729336))","(0, 0)",0.026213315315544605,1,True,0.026213315315544605
12,1,12,False,0.022733446210622787,,0.022733446210622787,"(np.float64(0.022101029753684998), np.float64(0.0011899396777153015))","(0, 0)",0.022101029753684998,1,True,0.022101029753684998
13,1,13,False,0.021702976897358894,,0.021702976897358894,"(np.float64(0.019446883350610733), np.float64(0.00202944315969944))","(0, 0)",0.019446883350610733,1,True,0.019446883350610733
14,1,14,False,0.027387890964746475,,0.027387890964746475,"(np.float64(0.021428771317005157), np.float64(0.001557888463139534))","(0, 0)",0.021428771317005157,1,True,0.021428771317005157
15,1,15,False,0.02516646310687065,,0.02516646310687065,"(np.float64(0.020258458331227303), np.float64(0.00034331902861595154))","(0, 0)",0.020258458331227303,1,True,0.020258458331227303
16,1,16,False,0.025304781273007393,,0.025304781273007393,"(np.float64(0.026781870052218437), np.float64(0.004543831571936607))","(0, 0)",0.026781870052218437,1,True,0.026781870052218437
17,1,17,False,0.025461792945861816,,0.025461792945861816,"(np.float64(0.019610745832324028), np.float64(0.0017522722482681274))","(0, 0)",0.019610745832324028,1,True,0.019610745832324028
18,1,18,False,0.025274457409977913,,0.025274457409977913,"(np.float64(0.020307200960814953), np.float64(0.0006417790427803993))","(0, 0)",0.020307200960814953,1,True,0.020307200960814953
19,1,19,False,0.02315363846719265,,0.02315363846719265,"(np.float64(0.02184034138917923), np.float64(0.0027113277465105057))","(0, 0)",0.02184034138917923,1,True,0.02184034138917923
20,2,0,False,0.0062088496051728725,,0.0062088496051728725,"(np.float64(0.004660076927393675), np.float64(0.0018802108243107796))","(0, 0)",0.004660076927393675,2,True,0.004660076927393675
21,2,1,False,0.005680962931364775,,0.005680962931364775,"(np.float64(0.0037922781193628907), np.float64(2.0898296497762203e-05))","(0, 0)",0.0037922781193628907,2,True,0.0037922781193628907
22,2,2,False,0.007820612750947475,,0.007820612750947475,"(np.float64(0.009171454468742013), np.float64(0.0030970012303441763))","(0, 0)",0.009171454468742013,2,True,0.009171454468742013
23,2,3,False,0.0079495869576931,,0.0079495869576931,"(np.float64(0.005470455274917185), np.float64(0.0020914323395118117))","(0, 0)",0.005470455274917185,2,True,0.005470455274917185
24,2,4,False,0.0064621916972100735,,0.0064621916972100735,"(np.float64(0.005241286242380738), np.float64(0.0009669146966189146))","(0, 0)",0.005241286242380738,2,True,0.005241286242380738
25,2,5,False,0.006462746765464544,,0.006462746765464544,"(np.float64(0.004503199830651283), np.float64(0.00041927630081772804))","(0, 0)",0.004503199830651283,2,True,0.004503199830651283
26,2,6,False,0.005335118621587753,,0.005335118621587753,"(np.float64(0.0052368552424013615), np.float64(0.0012195724993944168))","(0, 0)",0.0052368552424013615,2,True,0.0052368552424013615
27,2,7,False,0.006814662832766771,,0.006814662832766771,"(np.float64(0.004329873831011355), np.float64(0.0010084937093779445))","(0, 0)",0.004329873831011355,2,True,0.004329873831011355
28,2,8,False,0.008263470605015755,,0.008263470605015755,"(np.float64(0.006220268085598946), np.float64(0.0034993495792150497))","(0, 0)",0.006220268085598946,2,True,0.006220268085598946
29,2,9,False,0.010460206307470798,,0.010460206307470798,"(np.float64(0.004477423499338329), np.float64(0.0005785200046375394))","(0, 0)",0.004477423499338329,2,True,0.004477423499338329
30,2,10,False,0.006681785453110933,,0.006681785453110933,"(np.float64(0.0065830491948872805), np.float64(0.0017788743134588003))","(0, 0)",0.0065830491948872805,2,True,0.0065830491948872805
31,2,11,False,0.007109212689101696,,0.007109212689101696,"(np.float64(0.011468344135209918), np.float64(0.006222286494448781))","(0, 0)",0.011468344135209918,2,True,0.011468344135209918
32,2,12,False,0.007440580986440182,,0.007440580986440182,"(np.float64(0.00723228370770812), np.float64(0.0014313519932329655))","(0, 0)",0.00723228370770812,2,True,0.00723228370770812
33,2,13,False,0.006473843473941088,,0.006473843473941088,"(np.float64(0.005471749929711223), np.float64(0.0015268407296389341))","(0, 0)",0.005471749929711223,2,True,0.005471749929711223
34,2,14,False,0.011253319680690765,,0.011253319680690765,"(np.float64(0.007024053949862719), np.float64(0.0013847355730831623))","(0, 0)",0.007024053949862719,2,True,0.007024053949862719
35,2,15,False,0.009307517670094967,,0.009307517670094967,"(np.float64(0.005986671661958098), np.float64(0.0003297028597444296))","(0, 0)",0.005986671661958098,2,True,0.005986671661958098
36,2,16,False,0.009265117347240448,,0.009265117347240448,"(np.float64(0.011162385810166597), np.float64(0.0031364713795483112))","(0, 0)",0.011162385810166597,2,True,0.011162385810166597
37,2,17,False,0.009892313741147518,,0.009892313741147518,"(np.float64(0.005795340286567807), np.float64(0.0012506840284913778))","(0, 0)",0.005795340286567807,2,True,0.005795340286567807
38,2,18,False,0.009317604824900627,,0.009317604824900627,"(np.float64(0.006118494085967541), np.float64(0.00042718555778265))","(0, 0)",0.006118494085967541,2,True,0.006118494085967541
39,2,19,False,0.007565257605165243,,0.007565257605165243,"(np.float64(0.007177542429417372), np.float64(0.0023866104893386364))","(0, 0)",0.007177542429417372,2,True,0.007177542429417372
40,3,0,False,0.004890837240964174,,0.004890837240964174,"(np.float64(0.003750552365090698), np.float64(0.0019859560416080058))","(0, 0)",0.003750552365090698,3,True,0.003750552365090698
41,3,1,False,0.004534621722996235,,0.004534621722996235,"(np.float64(0.002877598162740469), np.float64(1.6639474779367447e-05))","(0, 0)",0.002877598162740469,3,True,0.002877598162740469
